"NOME_MUN","NU_ANO","CASOS"
"Angra dos Reis",2024,14733
"Aperibé",2024,296
"Araruama",2024,1900
"Areal",2024,811
"Armação dos Búzios",2024,360
"Arraial do Cabo",2024,611
"Barra do Piraí",2024,1999
"Barra Mansa",2024,3306
"Belford Roxo",2024,175
"Bom Jardim",2024,2845
"Bom Jesus do Itabapoana",2024,1058
"Cabo Frio",2024,802
"Cachoeiras de Macacu",2024,1166
"Cambuci",2024,482
"Campos dos Goytacazes",2024,19797
"Cantagalo",2024,2866
"Carapebus",2024,132
"Cardoso Moreira",2024,220
"Carmo",2024,1000
"Casimiro de Abreu",2024,593
"Comendador Levy Gasparian",2024,246
"Conceição de Macabu",2024,162
"Cordeiro",2024,1890
"Duas Barras",2024,970
"Duque de Caxias",2024,7169
"Engenheiro Paulo de Frontin",2024,305
"Guapimirim",2024,260
"Iguaba Grande",2024,498
"Itaboraí",2024,6640
"Itaguaí",2024,284
"Italva",2024,749
"Itaocara",2024,193
"Itaperuna",2024,2050
"Itatiaia",2024,2235
"Japeri",2024,168
"Laje do Muriaé",2024,222
"Macaé",2024,6123
"Macuco",2024,336
"Magé",2024,2434
"Mangaratiba",2024,390
"Maricá",2024,5460
"Mendes",2024,745
"Mesquita",2024,172
"Miguel Pereira",2024,750
"Miracema",2024,456
"Natividade",2024,702
"Nilópolis",2024,71
"Niterói",2024,2517
"Nova Friburgo",2024,5708
"Nova Iguaçu",2024,1643
"Paracambi",2024,288
"Paraíba do Sul",2024,725
"Paraty",2024,4709
"Paty do Alferes",2024,1271
"Petrópolis",2024,8576
"Pinheiral",2024,682
"Piraí",2024,2434
"Porciúncula",2024,288
"Porto Real",2024,895
"Quatis",2024,285
"Queimados",2024,831
"Quissamã",2024,567
"Resende",2024,10531
"Rio Bonito",2024,282
"Rio Claro",2024,461
"Rio das Flores",2024,25
"Rio das Ostras",2024,4374
"Rio de Janeiro",2024,111759
"Santa Maria Madalena",2024,16
"Santo Antônio de Pádua",2024,562
"São Fidélis",2024,224
"São Francisco de Itabapoana",2024,3286
"São Gonçalo",2024,2592
"São João da Barra",2024,228
"São João de Meriti",2024,2768
"São José de Ubá",2024,97
"São José do Vale do Rio Preto",2024,418
"São Pedro da Aldeia",2024,305
"São Sebastião do Alto",2024,215
"Sapucaia",2024,1196
"Saquarema",2024,971
"Seropédica",2024,123
"Silva Jardim",2024,193
"Sumidouro",2024,489
"Tanguá",2024,130
"Teresópolis",2024,2070
"Trajano de Moraes",2024,67
"Três Rios",2024,1858
"Valença",2024,839
"Varre-Sai",2024,100
"Vassouras",2024,3410
"Volta Redonda",2024,24346
