"NOME_MUN","NU_ANO","CASOS","Cód.","POP","INCIDENCIA"
"ANGRA DOS REIS",2024,14733,"3300100",179120,8225.21214828048
"APERIBÉ",2024,296,"3300159",11420,2591.94395796848
"ARARUAMA",2024,1900,"3300209",137773,1379.08008100281
"AREAL",2024,811,"3300225",12236,6627.98300098071
"ARMAÇÃO DOS BÚZIOS",2024,360,"3300233",42442,848.216389425569
"ARRAIAL DO CABO",2024,611,"3300258",32794,1863.14569738367
"BARRA DO PIRAÍ",2024,1999,"3300308",98501,2029.42102110638
"BARRA MANSA",2024,3306,"3300407",181688,1819.60283563031
"BELFORD ROXO",2024,175,"3300456",518263,33.7666397176723
"BOM JARDIM",2024,2845,"3300506",29736,9567.52757600215
"BOM JESUS DO ITABAPOANA",2024,1058,"3300605",37172,2846.22834391477
"CABO FRIO",2024,802,"3300704",238166,336.73992089551
"CACHOEIRAS DE MACACU",2024,1166,"3300803",59837,1948.62710363153
"CAMBUCI",2024,482,"3300902",15070,3198.40743198407
"CAMPOS DOS GOYTACAZES",2024,19797,"3301009",519011,3814.37002298603
"CANTAGALO",2024,2866,"3301108",19996,14332.8665733147
"CARAPEBUS",2024,132,"3300936",14325,921.465968586387
"CARDOSO MOREIRA",2024,220,"3301157",13403,1641.42356188913
"CARMO",2024,1000,"3301207",17740,5636.9785794814
"CASIMIRO DE ABREU",2024,593,"3301306",48563,1221.09424870786
"COMENDADOR LEVY GASPARIAN",2024,246,"3300951",9044,2720.03538257408
"CONCEIÇÃO DE MACABU",2024,162,"3301405",21769,744.177500114842
"CORDEIRO",2024,1890,"3301504",21444,8813.65416899832
"DUAS BARRAS",2024,970,"3301603",11354,8543.24467148142
"DUQUE DE CAXIAS",2024,7169,"3301702",866347,827.497526972449
"ENGENHEIRO PAULO DE FRONTIN",2024,305,"3301801",12648,2411.44845034788
"GUAPIMIRIM",2024,260,"3301850",54300,478.821362799263
"IGUABA GRANDE",2024,498,"3301876",29577,1683.74074449741
"ITABORAÍ",2024,6640,"3301900",240040,2766.2056323946
"ITAGUAÍ",2024,284,"3302007",123980,229.069204710437
"ITALVA",2024,749,"3302056",14517,5159.4682096852
"ITAOCARA",2024,193,"3302106",23643,816.309267013492
"ITAPERUNA",2024,2050,"3302205",107246,1911.49320254368
"ITATIAIA",2024,2235,"3302254",32694,6836.11671866398
"JAPERI",2024,168,"3302270",102149,164.465633535326
"LAJE DO MURIAÉ",2024,222,"3302304",7584,2927.21518987342
"MACAÉ",2024,6123,"3302403",264138,2318.10644435863
"MACUCO",2024,336,"3302452",5601,5998.92876272094
"MAGÉ",2024,2434,"3302502",244092,997.165003359389
"MANGARATIBA",2024,390,"3302601",43624,894.003300935265
"MARICÁ",2024,5460,"3302700",211986,2575.64178766522
"MENDES",2024,745,"3302809",18049,4127.65250152363
"MESQUITA",2024,172,"3302858",178803,96.1952539946198
"MIGUEL PEREIRA",2024,750,"3302908",28123,2666.85630978203
"MIRACEMA",2024,456,"3303005",28411,1605.01214318398
"NATIVIDADE",2024,702,"3303104",15550,4514.46945337621
"NILÓPOLIS",2024,71,"3303203",155544,45.6462480069948
"NITERÓI",2024,2517,"3303302",516720,487.111007895959
"NOVA FRIBURGO",2024,5708,"3303401",203328,2807.28674850488
"NOVA IGUAÇU",2024,1643,"3303500",843046,194.888535145176
"PARACAMBI",2024,288,"3303609",43656,659.703133589885
"PARAÍBA DO SUL",2024,725,"3303708",44467,1630.42256055052
"PARATY",2024,4709,"3303807",47614,9889.94833452346
"PATY DO ALFERES",2024,1271,"3303856",31345,4054.87318551603
"PETRÓPOLIS",2024,8576,"3303906",294983,2907.28618259357
"PINHEIRAL",2024,682,"3303955",25085,2718.75622882201
"PIRAÍ",2024,2434,"3304003",29054,8377.5039581469
"PORCIÚNCULA",2024,288,"3304102",17832,1615.07402422611
