"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Angra dos Reis","Branca","2015",28
"Angra dos Reis","Branca","2016",4
"Angra dos Reis","Branca","2017",6
"Angra dos Reis","Branca","2018",11
"Angra dos Reis","Branca","2019",18
"Angra dos Reis","Branca","2020",12
"Angra dos Reis","Branca","2021",30
"Angra dos Reis","Branca","2022",67
"Angra dos Reis","Branca","2023",329
"Angra dos Reis","Branca","2024",773
"Angra dos Reis","Branca","2025",602
"Angra dos Reis","Preta","2015",4
"Angra dos Reis","Preta","2016",0
"Angra dos Reis","Preta","2017",1
"Angra dos Reis","Preta","2018",3
"Angra dos Reis","Preta","2019",5
"Angra dos Reis","Preta","2020",2
"Angra dos Reis","Preta","2021",3
"Angra dos Reis","Preta","2022",7
"Angra dos Reis","Preta","2023",68
"Angra dos Reis","Preta","2024",152
"Angra dos Reis","Preta","2025",118
"Angra dos Reis","Amarela","2015",0
"Angra dos Reis","Amarela","2016",0
"Angra dos Reis","Amarela","2017",0
"Angra dos Reis","Amarela","2018",1
"Angra dos Reis","Amarela","2019",5
"Angra dos Reis","Amarela","2020",0
"Angra dos Reis","Amarela","2021",2
"Angra dos Reis","Amarela","2022",3
"Angra dos Reis","Amarela","2023",12
"Angra dos Reis","Amarela","2024",13
"Angra dos Reis","Amarela","2025",60
"Angra dos Reis","Parda","2015",15
"Angra dos Reis","Parda","2016",5
"Angra dos Reis","Parda","2017",3
"Angra dos Reis","Parda","2018",3
"Angra dos Reis","Parda","2019",3
"Angra dos Reis","Parda","2020",5
"Angra dos Reis","Parda","2021",7
"Angra dos Reis","Parda","2022",24
"Angra dos Reis","Parda","2023",395
"Angra dos Reis","Parda","2024",715
"Angra dos Reis","Parda","2025",522
"Angra dos Reis","Indígena","2015",3
"Angra dos Reis","Indígena","2016",0
"Angra dos Reis","Indígena","2017",0
"Angra dos Reis","Indígena","2018",0
"Angra dos Reis","Indígena","2019",1
"Angra dos Reis","Indígena","2020",0
"Angra dos Reis","Indígena","2021",0
"Angra dos Reis","Indígena","2022",2
"Angra dos Reis","Indígena","2023",5
"Angra dos Reis","Indígena","2024",52
"Angra dos Reis","Indígena","2025",3
"Angra dos Reis","Ignorado","2015",9000
"Angra dos Reis","Ignorado","2016",1407
"Angra dos Reis","Ignorado","2017",385
"Angra dos Reis","Ignorado","2018",105
"Angra dos Reis","Ignorado","2019",801
"Angra dos Reis","Ignorado","2020",132
"Angra dos Reis","Ignorado","2021",48
"Angra dos Reis","Ignorado","2022",135
"Angra dos Reis","Ignorado","2023",1183
"Angra dos Reis","Ignorado","2024",13028
"Angra dos Reis","Ignorado","2025",1830
"Aperibé","Branca","2015",19
"Aperibé","Branca","2016",30
"Aperibé","Branca","2017",1
"Aperibé","Branca","2018",12
"Aperibé","Branca","2019",8
"Aperibé","Branca","2020",18
"Aperibé","Branca","2021",1
"Aperibé","Branca","2022",184
"Aperibé","Branca","2023",5
"Aperibé","Branca","2024",153
"Aperibé","Branca","2025",79
"Aperibé","Preta","2015",2
"Aperibé","Preta","2016",2
"Aperibé","Preta","2017",0
"Aperibé","Preta","2018",2
"Aperibé","Preta","2019",1
"Aperibé","Preta","2020",5
"Aperibé","Preta","2021",0
"Aperibé","Preta","2022",15
"Aperibé","Preta","2023",1
"Aperibé","Preta","2024",15
"Aperibé","Preta","2025",8
"Aperibé","Amarela","2015",0
"Aperibé","Amarela","2016",0
"Aperibé","Amarela","2017",0
"Aperibé","Amarela","2018",0
"Aperibé","Amarela","2019",0
"Aperibé","Amarela","2020",0
"Aperibé","Amarela","2021",0
"Aperibé","Amarela","2022",0
"Aperibé","Amarela","2023",0
"Aperibé","Amarela","2024",1
"Aperibé","Amarela","2025",2
"Aperibé","Parda","2015",3
"Aperibé","Parda","2016",10
"Aperibé","Parda","2017",0
"Aperibé","Parda","2018",3
"Aperibé","Parda","2019",0
"Aperibé","Parda","2020",5
"Aperibé","Parda","2021",0
"Aperibé","Parda","2022",70
"Aperibé","Parda","2023",2
"Aperibé","Parda","2024",55
"Aperibé","Parda","2025",28
"Aperibé","Indígena","2015",0
"Aperibé","Indígena","2016",0
"Aperibé","Indígena","2017",0
"Aperibé","Indígena","2018",0
"Aperibé","Indígena","2019",0
"Aperibé","Indígena","2020",0
"Aperibé","Indígena","2021",0
"Aperibé","Indígena","2022",0
"Aperibé","Indígena","2023",0
"Aperibé","Indígena","2024",0
"Aperibé","Indígena","2025",0
"Aperibé","Ignorado","2015",1
"Aperibé","Ignorado","2016",1
"Aperibé","Ignorado","2017",0
"Aperibé","Ignorado","2018",3
"Aperibé","Ignorado","2019",2
"Aperibé","Ignorado","2020",0
"Aperibé","Ignorado","2021",0
"Aperibé","Ignorado","2022",37
"Aperibé","Ignorado","2023",0
"Aperibé","Ignorado","2024",72
"Aperibé","Ignorado","2025",19
"Araruama","Branca","2015",137
"Araruama","Branca","2016",186
"Araruama","Branca","2017",5
"Araruama","Branca","2018",29
"Araruama","Branca","2019",57
"Araruama","Branca","2020",8
"Araruama","Branca","2021",4
"Araruama","Branca","2022",9
"Araruama","Branca","2023",25
"Araruama","Branca","2024",608
"Araruama","Branca","2025",62
"Araruama","Preta","2015",29
"Araruama","Preta","2016",49
"Araruama","Preta","2017",3
"Araruama","Preta","2018",3
"Araruama","Preta","2019",9
"Araruama","Preta","2020",1
"Araruama","Preta","2021",1
"Araruama","Preta","2022",2
"Araruama","Preta","2023",5
"Araruama","Preta","2024",259
"Araruama","Preta","2025",16
"Araruama","Amarela","2015",0
"Araruama","Amarela","2016",1
"Araruama","Amarela","2017",0
"Araruama","Amarela","2018",0
"Araruama","Amarela","2019",0
"Araruama","Amarela","2020",0
"Araruama","Amarela","2021",0
"Araruama","Amarela","2022",0
"Araruama","Amarela","2023",0
"Araruama","Amarela","2024",15
"Araruama","Amarela","2025",5
"Araruama","Parda","2015",150
"Araruama","Parda","2016",302
"Araruama","Parda","2017",12
"Araruama","Parda","2018",20
"Araruama","Parda","2019",44
"Araruama","Parda","2020",10
"Araruama","Parda","2021",2
"Araruama","Parda","2022",11
"Araruama","Parda","2023",32
"Araruama","Parda","2024",902
"Araruama","Parda","2025",87
"Araruama","Indígena","2015",7
"Araruama","Indígena","2016",12
"Araruama","Indígena","2017",0
"Araruama","Indígena","2018",0
