"NOME_MUN","NU_ANO","CASOS"
"Angra dos Reis",2015,9050
"Angra dos Reis",2016,1416
"Angra dos Reis",2017,395
"Angra dos Reis",2018,123
"Angra dos Reis",2019,833
"Angra dos Reis",2020,151
"Angra dos Reis",2021,90
"Angra dos Reis",2022,238
"Angra dos Reis",2023,1992
"Angra dos Reis",2024,14733
"Angra dos Reis",2025,3135
"Aperibé",2015,25
"Aperibé",2016,43
"Aperibé",2017,1
"Aperibé",2018,20
"Aperibé",2019,11
"Aperibé",2020,28
"Aperibé",2021,1
"Aperibé",2022,306
"Aperibé",2023,8
"Aperibé",2024,296
"Aperibé",2025,136
"Araruama",2015,523
"Araruama",2016,1044
"Araruama",2017,28
"Araruama",2018,57
"Araruama",2019,135
"Araruama",2020,22
"Araruama",2021,14
"Araruama",2022,22
"Araruama",2023,64
"Araruama",2024,1900
"Araruama",2025,170
"Areal",2015,487
"Areal",2016,791
"Areal",2017,67
"Areal",2018,9
"Areal",2019,0
"Areal",2020,4
"Areal",2021,1
"Areal",2022,1
"Areal",2023,10
"Areal",2024,811
"Areal",2025,1
"Armação dos Búzios",2015,63
"Armação dos Búzios",2016,16
"Armação dos Búzios",2017,0
"Armação dos Búzios",2018,1
"Armação dos Búzios",2019,135
"Armação dos Búzios",2020,1
"Armação dos Búzios",2021,70
"Armação dos Búzios",2022,16
"Armação dos Búzios",2023,240
"Armação dos Búzios",2024,360
"Armação dos Búzios",2025,217
"Arraial do Cabo",2015,56
"Arraial do Cabo",2016,1182
"Arraial do Cabo",2017,15
"Arraial do Cabo",2018,39
"Arraial do Cabo",2019,47
"Arraial do Cabo",2020,3
"Arraial do Cabo",2021,11
"Arraial do Cabo",2022,25
"Arraial do Cabo",2023,67
"Arraial do Cabo",2024,611
"Arraial do Cabo",2025,62
"Barra do Piraí",2015,1821
"Barra do Piraí",2016,1676
"Barra do Piraí",2017,20
"Barra do Piraí",2018,32
"Barra do Piraí",2019,201
"Barra do Piraí",2020,17
"Barra do Piraí",2021,487
"Barra do Piraí",2022,4
"Barra do Piraí",2023,55
"Barra do Piraí",2024,1999
"Barra do Piraí",2025,19
"Barra Mansa",2015,1137
"Barra Mansa",2016,399
"Barra Mansa",2017,2
"Barra Mansa",2018,2
"Barra Mansa",2019,238
"Barra Mansa",2020,27
"Barra Mansa",2021,777
"Barra Mansa",2022,15
"Barra Mansa",2023,45
"Barra Mansa",2024,3306
"Barra Mansa",2025,138
"Belford Roxo",2015,208
"Belford Roxo",2016,246
"Belford Roxo",2017,1
"Belford Roxo",2018,48
"Belford Roxo",2019,331
"Belford Roxo",2020,35
"Belford Roxo",2021,97
"Belford Roxo",2022,166
"Belford Roxo",2023,172
"Belford Roxo",2024,175
"Belford Roxo",2025,34
"Bom Jardim",2015,25
"Bom Jardim",2016,275
"Bom Jardim",2017,1
"Bom Jardim",2018,1
"Bom Jardim",2019,43
"Bom Jardim",2020,0
"Bom Jardim",2021,0
"Bom Jardim",2022,1
"Bom Jardim",2023,5
"Bom Jardim",2024,2845
"Bom Jardim",2025,112
"Bom Jesus do Itabapoana",2015,1260
"Bom Jesus do Itabapoana",2016,1996
"Bom Jesus do Itabapoana",2017,59
"Bom Jesus do Itabapoana",2018,33
"Bom Jesus do Itabapoana",2019,341
"Bom Jesus do Itabapoana",2020,19
"Bom Jesus do Itabapoana",2021,17
"Bom Jesus do Itabapoana",2022,14
"Bom Jesus do Itabapoana",2023,955
"Bom Jesus do Itabapoana",2024,1058
"Bom Jesus do Itabapoana",2025,504
"Cabo Frio",2015,200
"Cabo Frio",2016,198
"Cabo Frio",2017,202
"Cabo Frio",2018,103
"Cabo Frio",2019,277
"Cabo Frio",2020,75
"Cabo Frio",2021,88
"Cabo Frio",2022,52
"Cabo Frio",2023,162
"Cabo Frio",2024,802
"Cabo Frio",2025,99
"Cachoeiras de Macacu",2015,11
"Cachoeiras de Macacu",2016,438
"Cachoeiras de Macacu",2017,1
"Cachoeiras de Macacu",2018,26
"Cachoeiras de Macacu",2019,2
"Cachoeiras de Macacu",2020,3
"Cachoeiras de Macacu",2021,1
"Cachoeiras de Macacu",2022,37
"Cachoeiras de Macacu",2023,383
"Cachoeiras de Macacu",2024,1166
"Cachoeiras de Macacu",2025,167
"Cambuci",2015,8
"Cambuci",2016,18
"Cambuci",2017,0
"Cambuci",2018,4
"Cambuci",2019,6
"Cambuci",2020,3
"Cambuci",2021,0
"Cambuci",2022,110
"Cambuci",2023,67
"Cambuci",2024,482
"Cambuci",2025,56
"Campos dos Goytacazes",2015,5706
"Campos dos Goytacazes",2016,3432
"Campos dos Goytacazes",2017,60
"Campos dos Goytacazes",2018,150
"Campos dos Goytacazes",2019,77
"Campos dos Goytacazes",2020,7
"Campos dos Goytacazes",2021,82
"Campos dos Goytacazes",2022,224
"Campos dos Goytacazes",2023,3644
"Campos dos Goytacazes",2024,19797
"Campos dos Goytacazes",2025,300
"Cantagalo",2015,23
"Cantagalo",2016,1810
"Cantagalo",2017,2
"Cantagalo",2018,3
"Cantagalo",2019,7
"Cantagalo",2020,1
"Cantagalo",2021,0
"Cantagalo",2022,24
"Cantagalo",2023,29
"Cantagalo",2024,2866
"Cantagalo",2025,226
"Carapebus",2015,226
"Carapebus",2016,202
"Carapebus",2017,0
"Carapebus",2018,0
"Carapebus",2019,20
"Carapebus",2020,1
"Carapebus",2021,0
"Carapebus",2022,111
"Carapebus",2023,119
"Carapebus",2024,132
"Carapebus",2025,6
"Cardoso Moreira",2015,38
"Cardoso Moreira",2016,374
"Cardoso Moreira",2017,2
"Cardoso Moreira",2018,11
"Cardoso Moreira",2019,17
"Cardoso Moreira",2020,13
"Cardoso Moreira",2021,12
"Cardoso Moreira",2022,54
"Cardoso Moreira",2023,20
"Cardoso Moreira",2024,220
"Cardoso Moreira",2025,37
"Carmo",2015,42
"Carmo",2016,736
"Carmo",2017,0
"Carmo",2018,4
"Carmo",2019,6
"Carmo",2020,2
"Carmo",2021,1
"Carmo",2022,109
"Carmo",2023,23
"Carmo",2024,1000
"Carmo",2025,1056
"Casimiro de Abreu",2015,122
"Casimiro de Abreu",2016,298
"Casimiro de Abreu",2017,47
"Casimiro de Abreu",2018,13
"Casimiro de Abreu",2019,70
"Casimiro de Abreu",2020,20
"Casimiro de Abreu",2021,7
"Casimiro de Abreu",2022,43
"Casimiro de Abreu",2023,68
"Casimiro de Abreu",2024,593
"Casimiro de Abreu",2025,44
"Comendador Levy Gasparian",2015,0
"Comendador Levy Gasparian",2016,12
"Comendador Levy Gasparian",2017,0
"Comendador Levy Gasparian",2018,0
"Comendador Levy Gasparian",2019,1
"Comendador Levy Gasparian",2020,0
"Comendador Levy Gasparian",2021,0
"Comendador Levy Gasparian",2022,0
"Comendador Levy Gasparian",2023,35
"Comendador Levy Gasparian",2024,246
"Comendador Levy Gasparian",2025,16
"Conceição de Macabu",2015,75
"Conceição de Macabu",2016,420
"Conceição de Macabu",2017,34
"Conceição de Macabu",2018,7
"Conceição de Macabu",2019,54
"Conceição de Macabu",2020,6
"Conceição de Macabu",2021,2
"Conceição de Macabu",2022,6
"Conceição de Macabu",2023,22
"Conceição de Macabu",2024,162
"Conceição de Macabu",2025,34
"Cordeiro",2015,75
"Cordeiro",2016,2077
"Cordeiro",2017,33
"Cordeiro",2018,11
"Cordeiro",2019,3
"Cordeiro",2020,6
"Cordeiro",2021,2
"Cordeiro",2022,65
"Cordeiro",2023,23
"Cordeiro",2024,1890
"Cordeiro",2025,42
"Duas Barras",2015,0
"Duas Barras",2016,58
"Duas Barras",2017,0
"Duas Barras",2018,1
"Duas Barras",2019,3
"Duas Barras",2020,12
"Duas Barras",2021,0
"Duas Barras",2022,0
"Duas Barras",2023,2
"Duas Barras",2024,970
"Duas Barras",2025,18
"Duque de Caxias",2015,488
"Duque de Caxias",2016,2093
"Duque de Caxias",2017,393
"Duque de Caxias",2018,299
"Duque de Caxias",2019,716
"Duque de Caxias",2020,46
"Duque de Caxias",2021,112
"Duque de Caxias",2022,479
"Duque de Caxias",2023,1720
"Duque de Caxias",2024,7169
"Duque de Caxias",2025,776
"Engenheiro Paulo de Frontin",2015,86
"Engenheiro Paulo de Frontin",2016,167
"Engenheiro Paulo de Frontin",2017,2
"Engenheiro Paulo de Frontin",2018,6
"Engenheiro Paulo de Frontin",2019,4
"Engenheiro Paulo de Frontin",2020,16
"Engenheiro Paulo de Frontin",2021,1
"Engenheiro Paulo de Frontin",2022,3
"Engenheiro Paulo de Frontin",2023,67
"Engenheiro Paulo de Frontin",2024,305
"Engenheiro Paulo de Frontin",2025,75
"Guapimirim",2015,43
"Guapimirim",2016,293
"Guapimirim",2017,15
"Guapimirim",2018,9
"Guapimirim",2019,10
"Guapimirim",2020,0
"Guapimirim",2021,2
"Guapimirim",2022,8
"Guapimirim",2023,143
"Guapimirim",2024,260
"Guapimirim",2025,321
"Iguaba Grande",2015,67
"Iguaba Grande",2016,178
"Iguaba Grande",2017,2
"Iguaba Grande",2018,17
"Iguaba Grande",2019,30
"Iguaba Grande",2020,45
"Iguaba Grande",2021,25
"Iguaba Grande",2022,107
"Iguaba Grande",2023,199
"Iguaba Grande",2024,498
"Iguaba Grande",2025,219
"Itaboraí",2015,781
"Itaboraí",2016,582
"Itaboraí",2017,655
"Itaboraí",2018,2719
"Itaboraí",2019,742
"Itaboraí",2020,272
"Itaboraí",2021,47
"Itaboraí",2022,149
"Itaboraí",2023,695
"Itaboraí",2024,6640
"Itaboraí",2025,1287
"Itaguaí",2015,907
"Itaguaí",2016,270
"Itaguaí",2017,3
"Itaguaí",2018,7
"Itaguaí",2019,33
"Itaguaí",2020,3
"Itaguaí",2021,19
"Itaguaí",2022,367
"Itaguaí",2023,288
"Itaguaí",2024,284
"Itaguaí",2025,9
"Italva",2015,66
"Italva",2016,403
"Italva",2017,7
"Italva",2018,26
"Italva",2019,20
"Italva",2020,21
"Italva",2021,6
"Italva",2022,91
"Italva",2023,390
"Italva",2024,749
"Italva",2025,37
"Itaocara",2015,28
"Itaocara",2016,89
"Itaocara",2017,4
"Itaocara",2018,56
"Itaocara",2019,7
"Itaocara",2020,6
"Itaocara",2021,12
"Itaocara",2022,81
"Itaocara",2023,10
"Itaocara",2024,193
"Itaocara",2025,52
"Itaperuna",2015,3091
"Itaperuna",2016,4272
"Itaperuna",2017,217
"Itaperuna",2018,318
"Itaperuna",2019,231
"Itaperuna",2020,60
"Itaperuna",2021,80
"Itaperuna",2022,461
"Itaperuna",2023,2291
"Itaperuna",2024,2050
"Itaperuna",2025,791
"Itatiaia",2015,1500
"Itatiaia",2016,495
"Itatiaia",2017,32
"Itatiaia",2018,2
"Itatiaia",2019,49
"Itatiaia",2020,21
"Itatiaia",2021,18
"Itatiaia",2022,20
"Itatiaia",2023,358
"Itatiaia",2024,2235
"Itatiaia",2025,17
"Japeri",2015,175
"Japeri",2016,47
"Japeri",2017,0
"Japeri",2018,0
"Japeri",2019,112
"Japeri",2020,1
"Japeri",2021,65
"Japeri",2022,19
"Japeri",2023,22
"Japeri",2024,168
"Japeri",2025,9
"Laje do Muriaé",2015,74
"Laje do Muriaé",2016,63
"Laje do Muriaé",2017,0
"Laje do Muriaé",2018,0
"Laje do Muriaé",2019,5
"Laje do Muriaé",2020,0
"Laje do Muriaé",2021,0
"Laje do Muriaé",2022,30
"Laje do Muriaé",2023,15
"Laje do Muriaé",2024,222
"Laje do Muriaé",2025,83
"Macaé",2015,1223
"Macaé",2016,1788
"Macaé",2017,66
"Macaé",2018,46
"Macaé",2019,208
"Macaé",2020,49
"Macaé",2021,89
"Macaé",2022,1225
"Macaé",2023,459
"Macaé",2024,6123
"Macaé",2025,672
"Macuco",2015,18
"Macuco",2016,213
"Macuco",2017,0
"Macuco",2018,0
"Macuco",2019,0
"Macuco",2020,0
"Macuco",2021,0
"Macuco",2022,4
"Macuco",2023,113
"Macuco",2024,336
"Macuco",2025,22
"Magé",2015,102
"Magé",2016,459
"Magé",2017,12
"Magé",2018,45
"Magé",2019,56
"Magé",2020,1
"Magé",2021,19
"Magé",2022,16
"Magé",2023,161
"Magé",2024,2434
"Magé",2025,1930
"Mangaratiba",2015,312
"Mangaratiba",2016,251
"Mangaratiba",2017,4
"Mangaratiba",2018,3
"Mangaratiba",2019,75
"Mangaratiba",2020,11
"Mangaratiba",2021,18
"Mangaratiba",2022,18
"Mangaratiba",2023,112
"Mangaratiba",2024,390
"Mangaratiba",2025,29
"Maricá",2015,131
"Maricá",2016,15
"Maricá",2017,169
"Maricá",2018,474
"Maricá",2019,77
"Maricá",2020,55
"Maricá",2021,35
"Maricá",2022,13
"Maricá",2023,72
"Maricá",2024,5460
"Maricá",2025,322
"Mendes",2015,641
"Mendes",2016,176
"Mendes",2017,1
"Mendes",2018,0
"Mendes",2019,9
"Mendes",2020,0
"Mendes",2021,0
"Mendes",2022,0
"Mendes",2023,66
"Mendes",2024,745
"Mendes",2025,32
"Mesquita",2015,91
"Mesquita",2016,452
"Mesquita",2017,0
"Mesquita",2018,4
"Mesquita",2019,15
"Mesquita",2020,5
"Mesquita",2021,7
"Mesquita",2022,9
"Mesquita",2023,74
"Mesquita",2024,172
"Mesquita",2025,1
"Miguel Pereira",2015,4
"Miguel Pereira",2016,122
"Miguel Pereira",2017,6
"Miguel Pereira",2018,2
"Miguel Pereira",2019,30
"Miguel Pereira",2020,13
"Miguel Pereira",2021,3
"Miguel Pereira",2022,18
"Miguel Pereira",2023,51
"Miguel Pereira",2024,750
"Miguel Pereira",2025,334
"Miracema",2015,533
"Miracema",2016,176
"Miracema",2017,3
"Miracema",2018,6
"Miracema",2019,735
"Miracema",2020,8
"Miracema",2021,11
"Miracema",2022,12
"Miracema",2023,26
"Miracema",2024,456
"Miracema",2025,159
"Natividade",2015,789
"Natividade",2016,1339
"Natividade",2017,1
"Natividade",2018,16
"Natividade",2019,98
"Natividade",2020,2
"Natividade",2021,5
"Natividade",2022,2
"Natividade",2023,857
"Natividade",2024,702
"Natividade",2025,165
"Nilópolis",2015,132
"Nilópolis",2016,463
"Nilópolis",2017,3
"Nilópolis",2018,5
"Nilópolis",2019,11
"Nilópolis",2020,6
"Nilópolis",2021,9
"Nilópolis",2022,7
"Nilópolis",2023,33
"Nilópolis",2024,71
"Nilópolis",2025,78
"Niterói",2015,912
"Niterói",2016,3944
"Niterói",2017,955
"Niterói",2018,1901
"Niterói",2019,368
"Niterói",2020,75
"Niterói",2021,41
"Niterói",2022,49
"Niterói",2023,187
"Niterói",2024,2517
"Niterói",2025,304
"Nova Friburgo",2015,494
"Nova Friburgo",2016,11409
"Nova Friburgo",2017,36
"Nova Friburgo",2018,20
"Nova Friburgo",2019,17
"Nova Friburgo",2020,13
"Nova Friburgo",2021,54
"Nova Friburgo",2022,106
"Nova Friburgo",2023,203
"Nova Friburgo",2024,5708
"Nova Friburgo",2025,263
"Nova Iguaçu",2015,1829
"Nova Iguaçu",2016,2713
"Nova Iguaçu",2017,11
"Nova Iguaçu",2018,13
"Nova Iguaçu",2019,77
"Nova Iguaçu",2020,11
"Nova Iguaçu",2021,195
"Nova Iguaçu",2022,38
"Nova Iguaçu",2023,657
"Nova Iguaçu",2024,1643
"Nova Iguaçu",2025,101
"Paracambi",2015,51
"Paracambi",2016,33
"Paracambi",2017,2
"Paracambi",2018,13
"Paracambi",2019,10
"Paracambi",2020,0
"Paracambi",2021,19
"Paracambi",2022,8
"Paracambi",2023,99
"Paracambi",2024,288
"Paracambi",2025,110
"Paraíba do Sul",2015,82
"Paraíba do Sul",2016,617
"Paraíba do Sul",2017,0
"Paraíba do Sul",2018,0
"Paraíba do Sul",2019,36
"Paraíba do Sul",2020,2
"Paraíba do Sul",2021,1
"Paraíba do Sul",2022,6
"Paraíba do Sul",2023,9
"Paraíba do Sul",2024,725
"Paraíba do Sul",2025,226
"Paraty",2015,306
"Paraty",2016,222
"Paraty",2017,8
"Paraty",2018,13
"Paraty",2019,48
"Paraty",2020,37
"Paraty",2021,85
"Paraty",2022,198
"Paraty",2023,1139
"Paraty",2024,4709
"Paraty",2025,398
"Paty do Alferes",2015,26
"Paty do Alferes",2016,411
"Paty do Alferes",2017,1
"Paty do Alferes",2018,0
"Paty do Alferes",2019,76
"Paty do Alferes",2020,66
"Paty do Alferes",2021,4
"Paty do Alferes",2022,6
"Paty do Alferes",2023,73
"Paty do Alferes",2024,1271
"Paty do Alferes",2025,28
"Petrópolis",2015,309
"Petrópolis",2016,859
"Petrópolis",2017,55
"Petrópolis",2018,14
"Petrópolis",2019,186
"Petrópolis",2020,6
"Petrópolis",2021,22
"Petrópolis",2022,26
"Petrópolis",2023,232
"Petrópolis",2024,8576
"Petrópolis",2025,523
"Pinheiral",2015,230
"Pinheiral",2016,141
"Pinheiral",2017,4
"Pinheiral",2018,6
"Pinheiral",2019,93
"Pinheiral",2020,131
"Pinheiral",2021,21
"Pinheiral",2022,3
"Pinheiral",2023,41
"Pinheiral",2024,682
"Pinheiral",2025,13
"Piraí",2015,1217
"Piraí",2016,877
"Piraí",2017,131
"Piraí",2018,192
"Piraí",2019,324
"Piraí",2020,95
"Piraí",2021,167
"Piraí",2022,47
"Piraí",2023,255
"Piraí",2024,2434
"Piraí",2025,344
"Porciúncula",2015,199
"Porciúncula",2016,477
"Porciúncula",2017,6
"Porciúncula",2018,4
"Porciúncula",2019,131
"Porciúncula",2020,13
"Porciúncula",2021,36
"Porciúncula",2022,18
"Porciúncula",2023,288
"Porciúncula",2024,288
"Porciúncula",2025,47
"Porto Real",2015,2061
"Porto Real",2016,167
"Porto Real",2017,5
"Porto Real",2018,3
"Porto Real",2019,21
"Porto Real",2020,17
"Porto Real",2021,41
"Porto Real",2022,4
"Porto Real",2023,33
"Porto Real",2024,895
"Porto Real",2025,23
"Quatis",2015,1508
"Quatis",2016,57
"Quatis",2017,3
"Quatis",2018,3
"Quatis",2019,58
"Quatis",2020,6
"Quatis",2021,25
"Quatis",2022,28
"Quatis",2023,27
"Quatis",2024,285
"Quatis",2025,22
"Queimados",2015,43
"Queimados",2016,48
"Queimados",2017,7
"Queimados",2018,7
"Queimados",2019,23
"Queimados",2020,2
"Queimados",2021,14
"Queimados",2022,1
"Queimados",2023,113
"Queimados",2024,831
"Queimados",2025,14
"Quissamã",2015,198
"Quissamã",2016,28
"Quissamã",2017,2
"Quissamã",2018,5
"Quissamã",2019,11
"Quissamã",2020,0
"Quissamã",2021,2
"Quissamã",2022,116
"Quissamã",2023,50
"Quissamã",2024,567
"Quissamã",2025,12
"Resende",2015,12984
"Resende",2016,2423
"Resende",2017,34
"Resende",2018,16
"Resende",2019,436
"Resende",2020,77
"Resende",2021,500
"Resende",2022,260
"Resende",2023,2832
"Resende",2024,10531
"Resende",2025,492
"Rio Bonito",2015,13
"Rio Bonito",2016,28
"Rio Bonito",2017,8
"Rio Bonito",2018,25
"Rio Bonito",2019,20
"Rio Bonito",2020,3
"Rio Bonito",2021,7
"Rio Bonito",2022,7
"Rio Bonito",2023,73
"Rio Bonito",2024,282
"Rio Bonito",2025,120
"Rio Claro",2015,207
"Rio Claro",2016,89
"Rio Claro",2017,1
"Rio Claro",2018,8
"Rio Claro",2019,3
"Rio Claro",2020,1
"Rio Claro",2021,3
"Rio Claro",2022,1
"Rio Claro",2023,6
"Rio Claro",2024,461
"Rio Claro",2025,16
"Rio das Flores",2015,9
"Rio das Flores",2016,6
"Rio das Flores",2017,4
"Rio das Flores",2018,2
"Rio das Flores",2019,20
"Rio das Flores",2020,1
"Rio das Flores",2021,0
"Rio das Flores",2022,2
"Rio das Flores",2023,1
"Rio das Flores",2024,25
"Rio das Flores",2025,269
"Rio das Ostras",2015,1318
"Rio das Ostras",2016,463
"Rio das Ostras",2017,82
"Rio das Ostras",2018,132
"Rio das Ostras",2019,234
"Rio das Ostras",2020,45
"Rio das Ostras",2021,80
"Rio das Ostras",2022,261
"Rio das Ostras",2023,1302
"Rio das Ostras",2024,4374
"Rio das Ostras",2025,151
"Rio de Janeiro",2015,21278
"Rio de Janeiro",2016,32654
"Rio de Janeiro",2017,3682
"Rio de Janeiro",2018,5525
"Rio de Janeiro",2019,17936
"Rio de Janeiro",2020,1165
"Rio de Janeiro",2021,1102
"Rio de Janeiro",2022,4577
"Rio de Janeiro",2023,22617
"Rio de Janeiro",2024,111759
"Rio de Janeiro",2025,9313
"Santa Maria Madalena",2015,0
"Santa Maria Madalena",2016,75
"Santa Maria Madalena",2017,0
"Santa Maria Madalena",2018,0
"Santa Maria Madalena",2019,0
"Santa Maria Madalena",2020,0
"Santa Maria Madalena",2021,0
"Santa Maria Madalena",2022,8
"Santa Maria Madalena",2023,1
"Santa Maria Madalena",2024,16
"Santa Maria Madalena",2025,9
"Santo Antônio de Pádua",2015,1043
"Santo Antônio de Pádua",2016,660
"Santo Antônio de Pádua",2017,22
"Santo Antônio de Pádua",2018,135
"Santo Antônio de Pádua",2019,27
"Santo Antônio de Pádua",2020,36
"Santo Antônio de Pádua",2021,23
"Santo Antônio de Pádua",2022,159
"Santo Antônio de Pádua",2023,134
"Santo Antônio de Pádua",2024,562
"Santo Antônio de Pádua",2025,72
"São Fidélis",2015,374
"São Fidélis",2016,197
"São Fidélis",2017,4
"São Fidélis",2018,47
"São Fidélis",2019,3
"São Fidélis",2020,14
"São Fidélis",2021,2
"São Fidélis",2022,9
"São Fidélis",2023,31
"São Fidélis",2024,224
"São Fidélis",2025,3
"São Francisco de Itabapoana",2015,355
"São Francisco de Itabapoana",2016,11
"São Francisco de Itabapoana",2017,0
"São Francisco de Itabapoana",2018,54
"São Francisco de Itabapoana",2019,853
"São Francisco de Itabapoana",2020,283
"São Francisco de Itabapoana",2021,0
"São Francisco de Itabapoana",2022,3
"São Francisco de Itabapoana",2023,74
"São Francisco de Itabapoana",2024,3286
"São Francisco de Itabapoana",2025,43
"São Gonçalo",2015,3392
"São Gonçalo",2016,9690
"São Gonçalo",2017,1725
"São Gonçalo",2018,1194
"São Gonçalo",2019,754
"São Gonçalo",2020,19
"São Gonçalo",2021,96
"São Gonçalo",2022,22
"São Gonçalo",2023,111
"São Gonçalo",2024,2592
