"Cód.","Município","Ano","População"
"3300100","Angra dos Reis (RJ)",2015,188276
"3300100","Angra dos Reis (RJ)",2016,191504
"3300100","Angra dos Reis (RJ)",2017,194619
"3300100","Angra dos Reis (RJ)",2018,200407
"3300100","Angra dos Reis (RJ)",2019,203785
"3300100","Angra dos Reis (RJ)",2020,207044
"3300100","Angra dos Reis (RJ)",2021,210171
"3300100","Angra dos Reis (RJ)",2024,179120
"3300100","Angra dos Reis (RJ)",2025,179142
"3300159","Aperibé (RJ)",2015,11023
"3300159","Aperibé (RJ)",2016,11160
"3300159","Aperibé (RJ)",2017,11292
"3300159","Aperibé (RJ)",2018,11612
"3300159","Aperibé (RJ)",2019,11759
"3300159","Aperibé (RJ)",2020,11901
"3300159","Aperibé (RJ)",2021,12036
"3300159","Aperibé (RJ)",2024,11420
"3300159","Aperibé (RJ)",2025,11426
"3300209","Araruama (RJ)",2015,122865
"3300209","Araruama (RJ)",2016,124940
"3300209","Araruama (RJ)",2017,126742
"3300209","Araruama (RJ)",2018,130439
"3300209","Araruama (RJ)",2019,132400
"3300209","Araruama (RJ)",2020,134293
"3300209","Araruama (RJ)",2021,136109
"3300209","Araruama (RJ)",2024,137773
"3300209","Araruama (RJ)",2025,137906
"3300225","Areal (RJ)",2015,11970
"3300225","Areal (RJ)",2016,12058
"3300225","Areal (RJ)",2017,12143
"3300225","Areal (RJ)",2018,12471
"3300225","Areal (RJ)",2019,12572
"3300225","Areal (RJ)",2020,12669
"3300225","Areal (RJ)",2021,12763
"3300225","Areal (RJ)",2024,12236
"3300225","Areal (RJ)",2025,12239
"3300233","Armação dos Búzios (RJ)",2015,31067
"3300233","Armação dos Búzios (RJ)",2016,31674
"3300233","Armação dos Búzios (RJ)",2017,32260
"3300233","Armação dos Búzios (RJ)",2018,33240
"3300233","Armação dos Búzios (RJ)",2019,33870
"3300233","Armação dos Búzios (RJ)",2020,34477
"3300233","Armação dos Búzios (RJ)",2021,35060
"3300233","Armação dos Búzios (RJ)",2024,42442
"3300233","Armação dos Búzios (RJ)",2025,42527
"3300258","Arraial do Cabo (RJ)",2015,29097
"3300258","Arraial do Cabo (RJ)",2016,29077
"3300258","Arraial do Cabo (RJ)",2017,29304
"3300258","Arraial do Cabo (RJ)",2018,30096
"3300258","Arraial do Cabo (RJ)",2019,30349
"3300258","Arraial do Cabo (RJ)",2020,30593
"3300258","Arraial do Cabo (RJ)",2021,30827
"3300258","Arraial do Cabo (RJ)",2024,32794
"3300258","Arraial do Cabo (RJ)",2025,32822
"3300308","Barra do Piraí (RJ)",2015,96865
"3300308","Barra do Piraí (RJ)",2016,97152
"3300308","Barra do Piraí (RJ)",2017,97460
"3300308","Barra do Piraí (RJ)",2018,99969
"3300308","Barra do Piraí (RJ)",2019,100374
"3300308","Barra do Piraí (RJ)",2020,100764
"3300308","Barra do Piraí (RJ)",2021,101139
"3300308","Barra do Piraí (RJ)",2024,98501
"3300308","Barra do Piraí (RJ)",2025,98506
"3300407","Barra Mansa (RJ)",2015,179915
"3300407","Barra Mansa (RJ)",2016,180126
"3300407","Barra Mansa (RJ)",2017,179451
"3300407","Barra Mansa (RJ)",2018,183976
"3300407","Barra Mansa (RJ)",2019,184412
"3300407","Barra Mansa (RJ)",2020,184833
"3300407","Barra Mansa (RJ)",2021,185237
"3300407","Barra Mansa (RJ)",2024,181688
"3300407","Barra Mansa (RJ)",2025,181679
"3300456","Belford Roxo (RJ)",2015,481127
"3300456","Belford Roxo (RJ)",2016,494141
"3300456","Belford Roxo (RJ)",2017,495783
"3300456","Belford Roxo (RJ)",2018,508614
"3300456","Belford Roxo (RJ)",2019,510906
"3300456","Belford Roxo (RJ)",2020,513118
"3300456","Belford Roxo (RJ)",2021,515239
"3300456","Belford Roxo (RJ)",2024,518263
"3300456","Belford Roxo (RJ)",2025,518384
"3300506","Bom Jardim (RJ)",2015,26278
"3300506","Bom Jardim (RJ)",2016,26424
"3300506","Bom Jardim (RJ)",2017,26566
"3300506","Bom Jardim (RJ)",2018,27269
"3300506","Bom Jardim (RJ)",2019,27446
"3300506","Bom Jardim (RJ)",2020,27616
"3300506","Bom Jardim (RJ)",2021,27779
"3300506","Bom Jardim (RJ)",2024,29736
"3300506","Bom Jardim (RJ)",2025,29758
"3300605","Bom Jesus do Itabapoana (RJ)",2015,35964
"3300605","Bom Jesus do Itabapoana (RJ)",2016,36031
"3300605","Bom Jesus do Itabapoana (RJ)",2017,36068
"3300605","Bom Jesus do Itabapoana (RJ)",2018,36985
"3300605","Bom Jesus do Itabapoana (RJ)",2019,37096
"3300605","Bom Jesus do Itabapoana (RJ)",2020,37203
"3300605","Bom Jesus do Itabapoana (RJ)",2021,37306
"3300605","Bom Jesus do Itabapoana (RJ)",2024,37172
"3300605","Bom Jesus do Itabapoana (RJ)",2025,37176
"3300704","Cabo Frio (RJ)",2015,208451
"3300704","Cabo Frio (RJ)",2016,212289
"3300704","Cabo Frio (RJ)",2017,216030
"3300704","Cabo Frio (RJ)",2018,222528
"3300704","Cabo Frio (RJ)",2019,226525
"3300704","Cabo Frio (RJ)",2020,230378
"3300704","Cabo Frio (RJ)",2021,234077
"3300704","Cabo Frio (RJ)",2024,238166
"3300704","Cabo Frio (RJ)",2025,238438
"3300803","Cachoeiras de Macacu (RJ)",2015,56290
"3300803","Cachoeiras de Macacu (RJ)",2016,56603
"3300803","Cachoeiras de Macacu (RJ)",2017,57048
"3300803","Cachoeiras de Macacu (RJ)",2018,58560
"3300803","Cachoeiras de Macacu (RJ)",2019,58937
"3300803","Cachoeiras de Macacu (RJ)",2020,59303
"3300803","Cachoeiras de Macacu (RJ)",2021,59652
"3300803","Cachoeiras de Macacu (RJ)",2024,59837
"3300803","Cachoeiras de Macacu (RJ)",2025,59861
"3300902","Cambuci (RJ)",2015,14836
"3300902","Cambuci (RJ)",2016,14824
"3300902","Cambuci (RJ)",2017,15124
"3300902","Cambuci (RJ)",2018,15496
"3300902","Cambuci (RJ)",2019,15505
"3300902","Cambuci (RJ)",2020,15514
"3300902","Cambuci (RJ)",2021,15521
"3300902","Cambuci (RJ)",2024,15070
"3300902","Cambuci (RJ)",2025,15069
"3300936","Carapebus (RJ)",2015,15008
"3300936","Carapebus (RJ)",2016,15293
"3300936","Carapebus (RJ)",2017,15568
"3300936","Carapebus (RJ)",2018,16039
"3300936","Carapebus (RJ)",2019,16301
"3300936","Carapebus (RJ)",2020,16586
"3300936","Carapebus (RJ)",2021,16859
"3300936","Carapebus (RJ)",2024,14325
"3300936","Carapebus (RJ)",2025,14329
"3300951","Comendador Levy Gasparian (RJ)",2015,8250
"3300951","Comendador Levy Gasparian (RJ)",2016,8255
"3300951","Comendador Levy Gasparian (RJ)",2017,8336
"3300951","Comendador Levy Gasparian (RJ)",2018,8544
"3300951","Comendador Levy Gasparian (RJ)",2019,8561
"3300951","Comendador Levy Gasparian (RJ)",2020,8576
"3300951","Comendador Levy Gasparian (RJ)",2021,8590
"3300951","Comendador Levy Gasparian (RJ)",2024,9044
"3300951","Comendador Levy Gasparian (RJ)",2025,9048
"3301009","Campos dos Goytacazes (RJ)",2015,483970
"3301009","Campos dos Goytacazes (RJ)",2016,487186
"3301009","Campos dos Goytacazes (RJ)",2017,490288
"3301009","Campos dos Goytacazes (RJ)",2018,503424
"3301009","Campos dos Goytacazes (RJ)",2019,507548
"3301009","Campos dos Goytacazes (RJ)",2020,511168
"3301009","Campos dos Goytacazes (RJ)",2021,514643
"3301009","Campos dos Goytacazes (RJ)",2024,519011
"3301009","Campos dos Goytacazes (RJ)",2025,519259
"3301108","Cantagalo (RJ)",2015,19759
"3301108","Cantagalo (RJ)",2016,19727
"3301108","Cantagalo (RJ)",2017,19697
"3301108","Cantagalo (RJ)",2018,20177
"3301108","Cantagalo (RJ)",2019,20172
"3301108","Cantagalo (RJ)",2020,20168
"3301108","Cantagalo (RJ)",2021,20163
"3301108","Cantagalo (RJ)",2024,19996
"3301108","Cantagalo (RJ)",2025,19995
"3301157","Cardoso Moreira (RJ)",2015,12558
"3301157","Cardoso Moreira (RJ)",2016,12538
"3301157","Cardoso Moreira (RJ)",2017,12519
"3301157","Cardoso Moreira (RJ)",2018,12826
"3301157","Cardoso Moreira (RJ)",2019,12823
"3301157","Cardoso Moreira (RJ)",2020,12821
"3301157","Cardoso Moreira (RJ)",2021,12818
"3301157","Cardoso Moreira (RJ)",2024,13403
"3301157","Cardoso Moreira (RJ)",2025,13407
"3301207","Carmo (RJ)",2015,18200
"3301207","Carmo (RJ)",2016,18322
"3301207","Carmo (RJ)",2017,18264
"3301207","Carmo (RJ)",2018,18755
